"Row_ID";"Order_ID";"Ship_Date";"Ship_Mode";"Customer_ID";"Customer_Name";"Segment";"Country";"City";"State";"Postal_Code";"Region";"Product_ID";"Category";"Sub_Category";"Product_Name";"Sales";"Quantity";"Discount";"Profit";"Order_Date"
1;"CA-2016-152156";"11/11/2016";"Second Class";"CG-12520";"Claire Gute";"Consumer";"United States";"Henderson";"Kentucky";42420;"South";"FUR-BO-10001798";"Furniture";"Bookcases";"Bush Somerset Collection Bookcase";261.96;2;0.0;41.9136;"2016-11-08"
4;"US-2015-108966";"10/18/2015";"Standard Class";"SO-20335";"Sean O'Donnell";"Consumer";"United States";"Fort Lauderdale";"Florida";33311;"South";"FUR-TA-10000577";"Furniture";"Tables";"Bretford CR4500 Series Slim Rectangular Table";957.578;5;0.45;-383.031;"2015-10-11"
5;"US-2015-108966";"10/18/2015";"Standard Class";"SO-20335";"Sean O'Donnell";"Consumer";"United States";"Fort Lauderdale";"Florida";33311;"South";"OFF-ST-10000760";"Office Supplies";"Storage";"Eldon Fold 'N Roll Cart System";22.368;2;0.2;2.5164;"2015-10-11"
7;"CA-2014-115812";"6/14/2014";"Standard Class";"BH-11710";"Brosina Hoffman";"Consumer";"United States";"Los Angeles";"California";90032;"West";"OFF-AR-10002833";"Office Supplies";"Art";"Newell 322";7.28;4;0.0;1.9656;"2014-06-09"
8;"CA-2014-115812";"6/14/2014";"Standard Class";"BH-11710";"Brosina Hoffman";"Consumer";"United States";"Los Angeles";"California";90032;"West";"TEC-PH-10002275";"Technology";"Phones";"Mitel 5320 IP Phone VoIP phone";907.152;6;0.2;90.7152;"2014-06-09"
10;"CA-2014-115812";"6/14/2014";"Standard Class";"BH-11710";"Brosina Hoffman";"Consumer";"United States";"Los Angeles";"California";90032;"West";"OFF-AP-10002892";"Office Supplies";"Appliances";"Belkin F5C206VTEL 6 Outlet Surge";114.9;5;0.0;34.47;"2014-06-09"
11;"CA-2014-115812";"6/14/2014";"Standard Class";"BH-11710";"Brosina Hoffman";"Consumer";"United States";"Los Angeles";"California";90032;"West";"FUR-TA-10001539";"Furniture";"Tables";"Chromcraft Rectangular Conference Tables";1706.184;9;0.2;85.3092;"2014-06-09"
12;"CA-2014-115812";"6/14/2014";"Standard Class";"BH-11710";"Brosina Hoffman";"Consumer";"United States";"Los Angeles";"California";90032;"West";"TEC-PH-10002033";"Technology";"Phones";"Konftel 250 Conference phone - Charcoal black";911.424;4;0.2;68.3568;"2014-06-09"
13;"CA-2017-114412";"4/20/2017";"Standard Class";"AA-10480";"Andrew Allen";"Consumer";"United States";"Concord";"North Carolina";28027;"South";"OFF-PA-10002365";"Office Supplies";"Paper";"Xerox 1967";15.552;3;0.2;5.4432;"2017-04-15"
14;"CA-2016-161389";"12/10/2016";"Standard Class";"IM-15070";"Irene Maddox";"Consumer";"United States";"Seattle";"Washington";98103;"West";"OFF-BI-10003656";"Office Supplies";"Binders";"Fellowes PB200 Plastic Comb Binding Machine";407.976;3;0.2;132.5922;"2016-12-05"
16;"US-2015-118983";"11/26/2015";"Standard Class";"HP-14815";"Harold Pawlan";"Home Office";"United States";"Fort Worth";"Texas";76106;"Central";"OFF-BI-10000756";"Office Supplies";"Binders";"Storex DuraTech Recycled Plastic Frosted Binders";2.544;3;0.8;-3.816;"2015-11-22"
18;"CA-2014-167164";"5/15/2014";"Second Class";"AG-10270";"Alejandro Grove";"Consumer";"United States";"West Jordan";"Utah";84084;"West";"OFF-ST-10000107";"Office Supplies";"Storage";"Fellowes Super Stor/Drawer";55.5;2;0.0;9.99;"2014-05-13"
19;"CA-2014-143336";"9/1/2014";"Second Class";"ZD-21925";"Zuschuss Donatelli";"Consumer";"United States";"San Francisco";"California";94109;"West";"OFF-AR-10003056";"Office Supplies";"Art";"Newell 341";8.56;2;0.0;2.4824;"2014-08-27"
20;"CA-2014-143336";"9/1/2014";"Second Class";"ZD-21925";"Zuschuss Donatelli";"Consumer";"United States";"San Francisco";"California";94109;"West";"TEC-PH-10001949";"Technology";"Phones";"Cisco SPA 501G IP Phone";213.48;3;0.2;16.011;"2014-08-27"
21;"CA-2014-143336";"9/1/2014";"Second Class";"ZD-21925";"Zuschuss Donatelli";"Consumer";"United States";"San Francisco";"California";94109;"West";"OFF-BI-10002215";"Office Supplies";"Binders";"Wilson Jones Hanging View Binder, White, 1""""";22.72;4;0.2;7.384;"2014-08-27"
22;"CA-2016-137330";"12/13/2016";"Standard Class";"KB-16585";"Ken Black";"Corporate";"United States";"Fremont";"Nebraska";68025;"Central";"OFF-AR-10000246";"Office Supplies";"Art";"Newell 318";19.46;7;0.0;5.0596;"2016-12-09"
23;"CA-2016-137330";"12/13/2016";"Standard Class";"KB-16585";"Ken Black";"Corporate";"United States";"Fremont";"Nebraska";68025;"Central";"OFF-AP-10001492";"Office Supplies";"Appliances";"Acco Six-Outlet Power Strip, 4' Cord Length";60.34;7;0.0;15.6884;"2016-12-09"
24;"US-2017-156909";"7/18/2017";"Second Class";"SF-20065";"Sandra Flanagan";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"FUR-CH-10002774";"Furniture";"Chairs";"Global Deluxe Stacking Chair, Gray";71.372;2;0.3;-1.0196;"2017-07-16"
25;"CA-2015-106320";"9/30/2015";"Standard Class";"EB-13870";"Emily Burns";"Consumer";"United States";"Orem";"Utah";84057;"West";"FUR-TA-10000577";"Furniture";"Tables";"Bretford CR4500 Series Slim Rectangular Table";1044.63;3;0.0;240.2649;"2015-09-25"
26;"CA-2016-121755";"1/20/2016";"Second Class";"EH-13945";"Eric Hoffmann";"Consumer";"United States";"Los Angeles";"California";90049;"West";"OFF-BI-10001634";"Office Supplies";"Binders";"Wilson Jones Active Use Binders";11.648;2;0.2;4.2224;"2016-01-16"
27;"CA-2016-121755";"1/20/2016";"Second Class";"EH-13945";"Eric Hoffmann";"Consumer";"United States";"Los Angeles";"California";90049;"West";"TEC-AC-10003027";"Technology";"Accessories";"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive";90.57;3;0.0;11.7741;"2016-01-16"
31;"US-2015-150630";"9/21/2015";"Standard Class";"TB-21520";"Tracy Blumstein";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"OFF-EN-10001509";"Office Supplies";"Envelopes";"Poly String Tie Envelopes";3.264;2;0.2;1.1016;"2015-09-17"
34;"US-2015-150630";"9/21/2015";"Standard Class";"TB-21520";"Tracy Blumstein";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"OFF-AR-10001683";"Office Supplies";"Art";"Lumber Crayons";15.76;2;0.2;3.546;"2015-09-17"
35;"CA-2017-107727";"10/23/2017";"Second Class";"MA-17560";"Matt Abelman";"Home Office";"United States";"Houston";"Texas";77095;"Central";"OFF-PA-10000249";"Office Supplies";"Paper";"Easy-staple paper";29.472;3;0.2;9.9468;"2017-10-19"
36;"CA-2016-117590";"12/10/2016";"First Class";"GH-14485";"Gene Hale";"Corporate";"United States";"Richardson";"Texas";75080;"Central";"TEC-PH-10004977";"Technology";"Phones";"GE 30524EE4";1097.544;7;0.2;123.4737;"2016-12-08"
40;"CA-2015-117415";"12/31/2015";"Standard Class";"SN-20710";"Steve Nguyen";"Home Office";"United States";"Houston";"Texas";77041;"Central";"FUR-CH-10004218";"Furniture";"Chairs";"Global Fabric Manager's Chair, Dark Gray";212.058;3;0.3;-15.147;"2015-12-27"
41;"CA-2015-117415";"12/31/2015";"Standard Class";"SN-20710";"Steve Nguyen";"Home Office";"United States";"Houston";"Texas";77041;"Central";"TEC-PH-10000486";"Technology";"Phones";"Plantronics HL10 Handset Lifter";371.168;4;0.2;41.7564;"2015-12-27"
42;"CA-2017-120999";"9/15/2017";"Standard Class";"LC-16930";"Linda Cazamias";"Corporate";"United States";"Naperville";"Illinois";60540;"Central";"TEC-PH-10004093";"Technology";"Phones";"Panasonic Kx-TS550";147.168;4;0.2;16.5564;"2017-09-10"
43;"CA-2016-101343";"7/22/2016";"Standard Class";"RA-19885";"Ruben Ausman";"Corporate";"United States";"Los Angeles";"California";90049;"West";"OFF-ST-10003479";"Office Supplies";"Storage";"Eldon Base for stackable storage shelf, platinum";77.88;2;0.0;3.894;"2016-07-17"
48;"CA-2016-169194";"6/25/2016";"Standard Class";"LH-16900";"Lena Hernandez";"Consumer";"United States";"Dover";"Delaware";19901;"East";"TEC-AC-10002167";"Technology";"Accessories";"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive";45.0;3;0.0;4.95;"2016-06-20"
51;"CA-2015-115742";"4/22/2015";"Standard Class";"DP-13000";"Darren Powers";"Consumer";"United States";"New Albany";"Indiana";47150;"Central";"OFF-LA-10002762";"Office Supplies";"Labels";"Avery 485";75.18;6;0.0;35.3346;"2015-04-18"
52;"CA-2015-115742";"4/22/2015";"Standard Class";"DP-13000";"Darren Powers";"Consumer";"United States";"New Albany";"Indiana";47150;"Central";"FUR-FU-10001706";"Furniture";"Furnishings";"Longer-Life Soft White Bulbs";6.16;2;0.0;2.9568;"2015-04-18"
53;"CA-2015-115742";"4/22/2015";"Standard Class";"DP-13000";"Darren Powers";"Consumer";"United States";"New Albany";"Indiana";47150;"Central";"FUR-CH-10003061";"Furniture";"Chairs";"Global Leather Task Chair, Black";89.99;1;0.0;17.0981;"2015-04-18"
54;"CA-2016-105816";"12/17/2016";"Standard Class";"JM-15265";"Janet Molinari";"Corporate";"United States";"New York City";"New York";10024;"East";"OFF-FA-10000304";"Office Supplies";"Fasteners";"Advantus Push Pins";15.26;7;0.0;6.2566;"2016-12-11"
55;"CA-2016-105816";"12/17/2016";"Standard Class";"JM-15265";"Janet Molinari";"Corporate";"United States";"New York City";"New York";10024;"East";"TEC-PH-10002447";"Technology";"Phones";"AT&T CL83451 4-Handset Telephone";1029.95;5;0.0;298.6855;"2016-12-11"
56;"CA-2016-111682";"6/18/2016";"First Class";"TB-21055";"Ted Butterfield";"Consumer";"United States";"Troy";"New York";12180;"East";"OFF-ST-10000604";"Office Supplies";"Storage";"Home/Office Personal File Carts";208.56;6;0.0;52.14;"2016-06-17"
57;"CA-2016-111682";"6/18/2016";"First Class";"TB-21055";"Ted Butterfield";"Consumer";"United States";"Troy";"New York";12180;"East";"OFF-PA-10001569";"Office Supplies";"Paper";"Xerox 232";32.4;5;0.0;15.552;"2016-06-17"
58;"CA-2016-111682";"6/18/2016";"First Class";"TB-21055";"Ted Butterfield";"Consumer";"United States";"Troy";"New York";12180;"East";"FUR-CH-10003968";"Furniture";"Chairs";"Novimex Turbo Task Chair";319.41;5;0.1;7.098;"2016-06-17"
59;"CA-2016-111682";"6/18/2016";"First Class";"TB-21055";"Ted Butterfield";"Consumer";"United States";"Troy";"New York";12180;"East";"OFF-PA-10000587";"Office Supplies";"Paper";"Array Parchment Paper, Assorted Colors";14.56;2;0.0;6.9888;"2016-06-17"
60;"CA-2016-111682";"6/18/2016";"First Class";"TB-21055";"Ted Butterfield";"Consumer";"United States";"Troy";"New York";12180;"East";"TEC-AC-10002167";"Technology";"Accessories";"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive";30.0;2;0.0;3.3;"2016-06-17"
61;"CA-2016-111682";"6/18/2016";"First Class";"TB-21055";"Ted Butterfield";"Consumer";"United States";"Troy";"New York";12180;"East";"OFF-BI-10001460";"Office Supplies";"Binders";"Plastic Binding Combs";48.48;4;0.2;16.362;"2016-06-17"
62;"CA-2016-111682";"6/18/2016";"First Class";"TB-21055";"Ted Butterfield";"Consumer";"United States";"Troy";"New York";12180;"East";"OFF-AR-10001868";"Office Supplies";"Art";"Prang Dustless Chalk Sticks";1.68;1;0.0;0.84;"2016-06-17"
65;"CA-2015-135545";"11/30/2015";"Standard Class";"KM-16720";"Kunst Miller";"Consumer";"United States";"Los Angeles";"California";90004;"West";"OFF-PA-10003892";"Office Supplies";"Paper";"Xerox 1943";146.73;3;0.0;68.9631;"2015-11-24"
66;"CA-2015-135545";"11/30/2015";"Standard Class";"KM-16720";"Kunst Miller";"Consumer";"United States";"Los Angeles";"California";90004;"West";"FUR-FU-10000397";"Furniture";"Furnishings";"Luxo Economy Swing Arm Lamp";79.76;4;0.0;22.3328;"2015-11-24"
67;"US-2015-164175";"5/5/2015";"Standard Class";"PS-18970";"Paul Stevenson";"Home Office";"United States";"Chicago";"Illinois";60610;"Central";"FUR-CH-10001146";"Furniture";"Chairs";"Global Value Mid-Back Manager's Chair, Gray";213.115;5;0.3;-15.2225;"2015-04-30"
69;"CA-2014-106376";"12/10/2014";"Standard Class";"BS-11590";"Brendan Sweed";"Corporate";"United States";"Gilbert";"Arizona";85234;"West";"TEC-PH-10002726";"Technology";"Phones";"netTALK DUO VoIP Telephone Service";167.968;4;0.2;62.988;"2014-12-05"
73;"US-2015-134026";"5/2/2015";"Standard Class";"JE-15745";"Joel Eaton";"Consumer";"United States";"Memphis";"Tennessee";38109;"South";"FUR-CH-10000513";"Furniture";"Chairs";"High-Back Leather Manager's Chair";831.936;8;0.2;-114.3912;"2015-04-26"
75;"US-2015-134026";"5/2/2015";"Standard Class";"JE-15745";"Joel Eaton";"Consumer";"United States";"Memphis";"Tennessee";38109;"South";"OFF-ST-10004123";"Office Supplies";"Storage";"Safco Industrial Wire Shelving System";72.784;1;0.2;-18.196;"2015-04-26"
76;"US-2017-118038";"12/11/2017";"First Class";"KB-16600";"Ken Brennan";"Corporate";"United States";"Houston";"Texas";77041;"Central";"OFF-BI-10004182";"Office Supplies";"Binders";"Economy Binders";1.248;3;0.8;-1.9344;"2017-12-09"
81;"CA-2016-127208";"6/15/2016";"First Class";"SC-20770";"Stewart Carmichael";"Corporate";"United States";"Decatur";"Alabama";35601;"South";"OFF-BI-10002309";"Office Supplies";"Binders";"Avery Heavy-Duty EZD  Binder With Locking Rings";16.74;3;0.0;8.0352;"2016-06-12"
84;"CA-2015-149734";"9/8/2015";"Standard Class";"JC-16105";"Julie Creighton";"Corporate";"United States";"Durham";"North Carolina";27707;"South";"OFF-EN-10000927";"Office Supplies";"Envelopes";"Jet-Pak Recycled Peel 'N' Seal Padded Mailers";200.984;7;0.2;62.8075;"2015-09-03"
